,Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make,Age_Bin
43,52,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87600,0.0,88200,51000,SUV,50-53
49,52,Female,Business,Married,Post Graduate,4,No,No,Yes,90300,0.0,170400,69000,SUV,50-53
59,54,Male,Salaried,Married,Graduate,3,Yes,No,Yes,80600,0.0,81000,51000,SUV,54-57
111,48,Female,Business,Married,Graduate,3,No,No,Yes,90300,0.0,161100,62000,SUV,46-49
209,43,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53400,0.0,123900,64000,SUV,42-45
284,41,Female,Business,Married,Post Graduate,2,No,No,Yes,70500,0.0,105800,33000,Sedan,38-41
339,39,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,76800,0.0,115400,50000,Sedan,38-41
376,38,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,79000,0.0,117400,46000,Sedan,38-41
424,37,Female,Salaried,Married,Graduate,2,Yes,Yes,Yes,62000,0.0,100700,46000,Sedan,34-37
444,36,Male,Business,Married,Post Graduate,2,No,No,Yes,72300,0.0,112400,48000,Sedan,34-37
554,33,Male,Salaried,Married,Graduate,2,No,No,Yes,41600,0.0,70100,48000,Sedan,30-33
654,30,Male,Business,Married,Post Graduate,4,Yes,Yes,Yes,64700,0.0,93200,30000,Hatchback,30-33
779,29,Male,Salaried,Married,Graduate,3,No,Yes,Yes,59000,0.0,87700,29000,Hatchback,26-29
1345,24,Male,Salaried,Married,Graduate,3,Yes,No,Yes,34600,0.0,58800,20000,Hatchback,22-25
1349,24,Male,Business,Married,Graduate,3,Yes,No,Yes,32400,0.0,58200,18000,Sedan,22-25
1546,22,Male,Business,Married,Graduate,3,Yes,No,Yes,32600,0.0,59300,20000,Hatchback,22-25
